 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
-----------+-------------------------------+-----------------------------------+----------+---------------------------------------------+----------------------+--------+----------------+--------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------------+-------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+-----------------------------------------------+--------------------------------------------------------------------------------------+------------------------------------------
 bangalore|anekal taluk|dommasanddra|29565|THIPPASANDRA|Anganwadi|co-ed|kannada|Gunjuru Post, Anekal Taluk, Sarjapura Hobli|Thippasandra|560087|Near Blue Colour Water Tank|Home Style 1st Floor||White Colour Building|POINT(77.75202 12.91295)
 bangalore|anekal taluk|haragadde|29566|GOWRENAHALLI A|Anganwadi|co-ed|kannada|Kasba Hobli, Anekal Taluk, Siddihosakote Post|Gowrena Halli|562106|Opp Gowrena Halli Bus Stop|Cream Colour Building & Flag|232236|Play Ground & White Colour Building|POINT(77.68061 12.72117)
 bangalore|anekal taluk|dommasanddra|29568|HALASA HALLI|Anganwadi|co-ed|kannada|Gunjuru Post, Anekal Taluk, Sarjapura Hobli|Halasahalli|560087|Near Ashwath Katte|Cream Colour Building||Next to G.K.L.P.S Halasahalli|POINT(77.7626 12.9234)
 bangalore|anekal taluk|haragadde|29581|SURAGAJAKKANAHALLI|Anganwadi|co-ed|kannada|Kasba Hobli, Anekal Taluk, Siddihosakote Post|Suragajakkanahalli|562106|Suragajakkanahalli Bus Stop Opp Road|No Compound & No Play Ground|365P|Blue Colour Door|POINT(77.66714 12.73925)
 bangalore|anekal taluk|dommasanddra|30386|KATTARA GUPPE|Anganwadi|co-ed|kannada|Neriga Post, Anekal Taluk, Sarjapura Hobli|Kathariguppe|562125|Behind Kathariguppe Bus Stop|Cream Colour Building|323 J, 323 C, 323 K|No Compound, No Playground|POINT(77.76557 12.9149)
 bangalore|anekal taluk|dommasanddra|30389|ALE BOMASANDRA|Anganwadi|co-ed|kannada|Ambedkar Colony, Muthanallur Post, Sarjapura Hobli, Anekal Taluk, Bangalore South|Alibommasandra|567102|Near Yallamma Temple|White Colour Building|350, 350 B|Blue Colour Door|POINT(77.73519 12.81627)
 bangalore|anekal taluk|kasaba|30556|GERATIGANABELE|Anganwadi|co-ed|kannada|Geratiganabele Village, Samandur Post, Kasaba Hobli, Anekal Taluk|Geratiganabele|562106|Beside Anjaneya Temple|Yellow Colour Building||Blue Colour Door & Sheet Building|POINT(77.73275 12.67987)
 bangalore|anekal taluk|haragadde|30784|ADURU|Anganwadi|co-ed|kannada|Ingala Wadi Post, Anekal Taluk, Kasba Hobli|Aduru|562106|Near Inganwadi Cross & Inganwadi Road|Cream Colour Building|372||POINT(77.65718 12.73321)
 bangalore|anekal taluk|haragadde|30786|SIDDANAPALYA|Anganwadi|co-ed|kannada|Ingala Wadi Post, Anekal Taluk, Kasba Hobli|Siddana Palya|562106|Siddana Palya GHPS Inside|Cream Colour Compound & Play Ground||White Colour Building|POINT(77.66161 12.72482)
 bangalore|anekal taluk|kasaba|30787|NARAYANAPURA|Anganwadi|co-ed|kannada|Anekal Post, Anekal Town, Anekal Taluk, Bangalore|Narayanpura|562106|Near ESI Factory|Yellow Colour Building||Blue Colour Door|POINT(77.69355 12.70238)
 bangalore|anekal taluk|haragadde|30788|CHINNAYANAPALYA|Anganwadi|co-ed|kannada|Ingala Wadi Post, Anekal Taluk, Kasba Hobli|Chinnaya Palya|562106|Opp Ashwath Katte|Chinnaya Palya GHPS Inside||Cream Colour Compound|POINT(77.65601 12.72301)
 bangalore|anekal taluk|haragadde|30790|SONNANAYAKNAPURA|Anganwadi|co-ed|kannada|Ingala Wadi Post, Anekal Taluk, Kasba Hobli|Sonna Nayakanapura|562106|Near Inganwadi Cross & Road & Bannerghatta To Anekal|White Colour Building|||POINT(77.65825 12.729)
 bangalore|anekal taluk|kasaba|30794|D K BAGILU|Anganwadi|co-ed|kannada|Thali Road, Anekal Post, Anekal Town, Anekal Taluk, Bangalore|Doddakere Bagilu|562106|Near Chandrashekar Tent|Yellow Colour Building||Brown Colour Door|POINT(77.68917 12.71027)
 bangalore|anekal taluk|kasaba|30797|MUTTAGATTI|Anganwadi|co-ed|kannada|Besthamanhalli Post, Kasba Hobli, Anekal Taluk, Bangalore|Muttagatti|562106|Opp Muttagatti Milk Dairy|Yellow Colour Building||Blue Colour Door|POINT(77.72072 12.70268)
 bangalore|anekal taluk|kasaba|30810|KUVEMPUNAGARA|Anganwadi|co-ed|kannada|Besthamanhalli Post, Kasba Hobli, Anekal Taluk, Bangalore|Kuvempunagara|562106|Near GKHPS Kuvempunagara|Yellow Colour Building||Blue Colour Door|POINT(77.71171 12.69798)
