 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
-----------+---------+----------------------------+----------+-------------------------------------------+---------------+--------+----------------+---------------------------------------------------------------------------------------------------------------+-----------------------------------------+------------------+-----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------+-------------------------------------------+-----------------------------------------------------------------------------------------------------+------------------------------------------
 bangalore|south-1|vajara halli|32868|GKHPS ALAHALLI|Upper Primary|co-ed|kannada|avalahalli south range- 1|bangalore|560062|masjid||||POINT(77.5766623020172 12.8893003120716)
 bangalore|north-4|yelehanka new town|32894|GKLPS RAMAGONDANAHALLI|Lower Primary|co-ed|kannada|||560064|near ramgondahallibus stop||||POINT(77.5755786895751 13.1124160477745)
 bangalore|north-1|madanayakanahalli|33292|GKHPS SRIKANTAPURA|Upper Primary|co-ed|kannada||bangalore|560073|opposite oxford public school||||POINT(77.4805855751038 13.0531625182782)
 bangalore|south-2|chamarajpet|32136|GTHPS BELIMUTT|Upper Primary|co-ed|tamil|belimutt road bangalore- 53|bangalore|560053|bakshigarden arch near super talkies||||POINT(77.5700211524963 12.9664198482966)
 bangalore|anekal|chikkahosahalli|32514|GKHPS INDILWADI|Upper Primary|co-ed|kannada|Indalwadi Post, Anekal Thaluk, Kasab Hobli|Indalwadi|562107|Opp Indalwadi Bus Stop|Cream Colour Compound|KSRTC|Cream Colour Building & Play Ground|POINT(77.63877 12.7284)
 bangalore|anekal|hebbagodi|32701|GKHPS HEBBAGODI|Upper Primary|co-ed|kannada|Bommasandra Post, Anekal Taluk, Hosur Road|Hebagodi|560099|Opposite Hebbagodi Bus Stop|No Painted Compound, Playground|360, 373 A, 356, 351|Cream Colour Building|POINT(77.68221 12.82527)
 bangalore|anekal|dommasandra|32914|GKHPS JANATHA COLONY|Upper Primary|co-ed|kannada|Muthanallur Cross To Main Road, Dommasandra Post, Sarjapura Hobli, Anekal Thaluk, Bangalore|Janatha Colony|562125|Near Veeranjanaya Ground|White Colour Building & Infront Play Ground|342,342A,342F,342R,G3|White Colour Compound & Blue Colour Gate|POINT(77.73785 12.88459)
 bangalore|anekal|dommasandra|32916|GKHPS ITTANGURU|Upper Primary|co-ed|kannada|Sarjapur Post, Sarjapur Hobli, Anekal Taluk, Bangalore|Ittangur|562125|Opp Ashwath Katte & Bus Stop (Ittangur)|Yellow colour Building|342W|Infront Main Road|POINT(77.78875 12.88195)
 bangalore|anekal|dommasandra|32923|GKLPS YAMRE|Lower Primary|co-ed|kannada|Dommasandra Post, Sarjapura Hobli, Anekal Taluk|Yamare|562125|Infront Yamare Bus Stop|Whtie Colour Building|342, 342 A, 342 F, 342 R, G3|White Colour Compound & Black Colour Gate|POINT(77.76641 12.87193)
 bangalore|anekal|sarjapura|32944|GKHPS ADIGARAKALLAHALLI|Upper Primary|co-ed|kannada|Bidaraguppe Post, Srajapura Hoblik, Anekal Taluk|Adigarakallahalli|562107|Behind Adigarakallahalli Bus Stop||342 K Last Stop||POINT(77.80277 12.82562)
 bangalore|anekal|huskuru|32851|GKLPS AVALAHALLI (HUSKUR)|Lower Primary|co-ed|kannada|Huskur Post, Anekal Taluk|Avala Halli|560099|Near Avala Halli Railway Gate|White Colour Compound, Small Play Ground|No Bus|White Colour Building|POINT(77.71166 12.86933)
 bangalore|anekal|haragadde|32801|GKHPS HARAGADDE|Upper Primary|co-ed|kannada|Haragadde Post, Anekal Taluk|Haragadde|560105|Near Haragadde Bus Stop|Cream Colour Building|365Z, 366, 372|Smalla Play Ground, No Painted Compound|POINT(77.6545 12.76239)
 bangalore|north-1|chikkabidarakallu|32150|GKHPS DODDABIDARAKALLU|Upper Primary|co-ed|kannada|Nagasandra Post, Yeshwanthpura Hobli, N-1||560073|Opposite Doddabidarakallu Bus Stop|Pink Colour Compound, Playground|263 A|Pink Colour Building, Coconut Tree|POINT(77.4947 13.04099)
 bangalore|anekal|dommasandra|32913|GKHPS (GIRLS)DOMMASANDRA|Upper Primary|girls|kannada|Santhe Beedi, Dommasandra Post, Sarjapura Hobli, Anekal Taluk|Dommasandra|562125|Near Nagara Ashwath Katte|Yellow Colour Building|342, 342 A, 342 R, 342 F, G3|Blue Colour Gate|POINT(77.75476 12.87771)
 bangalore|anekal|sarjapura|32946|GKHPS HANDENAHALLI|Upper Primary|co-ed|kannada|Handenahalli Post, Sarjapura Hobli, Anekal Taluk|Handenahalli|562125|Behind Handenahalli Bus Stop|Cream Colour Building, Playground|349 A, 351 J, 360 J|Cream Colour Compound, Coconut Tree|POINT(77.7661 12.82487)
 bangalore|anekal|hennagra|33437|GKHPS HENNAGARA|Upper Primary|co-ed|kannada|Hennagara Post, Jigani Hobli, Anekal Taluk, Bangalore|Hennagara|562106|Near Hennagara Grama Panchayath Office|Yellow Colour Building And Yellow Colour Compound|352, 352E|Infront Play Ground And Flag Post|POINT(77.67454 12.7895)
 bangalore|anekal|sabmangala|33411|GKHPS GERETIGANABELE|Upper Primary|co-ed|kannada|Geratiganabele Village, Samandur Post, Kasba Hobli, Anekal Taluk, Bangalore|Geratiganabele|562106|Opp Ashwath Katte|Yellow Colour Building & Yellow Colour Compound||Blue Colour Gate|POINT(77.73333 12.67971)
 bangalore|north-1|chikkabidarakallu|32156|GKLPS MUNISWAMAPPA BADAVANE|Lower Primary|co-ed|kannada|Nagasandra Post, Yeshwantpura Hobli, N-1|Muniswamappa Layout|560073|Near Thipenahalli Bus Stop|White Colour Building|||POINT(77.48892 13.04538)
 bangalore|north-2|hebbal|32031|GULPS BHUVANESHWARI NAGAR|Lower Primary|co-ed|urdu|R T Nagar Post,3rd Cross,Sultan Palya Main Road|Bhuvaneshwari Nagar|560032|Masjid Inside|White Colour Compound|415B,415F|Play Ground|POINT(77.6041 13.03317)
 bangalore|north-2|hebbal|32032|GUMPS CHAMUNDINAGAR|Model Primary|co-ed|urdu|R T Nagar Post,3rd Cross|Chamundi Nagar|560032||||No Painted Compound,No Play Ground|POINT(77.59934 13.02951)
 bangalore|north-4|bagalur|32045|GKLPS BYLAHALLI|Lower Primary|co-ed|kannada|B.K.Halli Post, Chikajala Hobli, Bangalore North|Bylahalli|562149|Opp Anjeneya Temple|Infront Flag|289M||POINT(77.68102 13.16949)
 bangalore|north-4|kakolu|32571|GKHPS KAKOLU|Upper Primary|co-ed|kannada|KakoluPost, Hesaraghatta Hobli|Kakolu|560089|Kakolu Bus Stop Opposite Road|White Colour Compound, Small Play Ground|285L, 406, 409|White Colour Building|POINT(77.51985 13.18578)
 bangalore|north-4|kakolu|32588|GKLPS SONNENAHALLI (KAKOLU)|Lower Primary|co-ed|kannada|Byatha Post, Hesaraghatta Hobli|Sonnenahalli|560089|Opposite Sonnenahalli Bus Stop|No Compound Play Ground|285L, 406, 409|Cream Colour Building|POINT(77.5001 13.19762)
 bangalore|north-4|yelehanka old town|32934|GKLPS MADAPPANAHALLI (RAJANA KUNTE)|Lower Primary|co-ed|kannada|Rajankunte Post, Hesaraghatta Hobli|Madappanahalli|560089|Opposite Madappanahalli Bus Stop|Cream Colour Compound, No Play Ground|285D, H|Cream Colour Building|POINT(77.54042 13.15409)
 bangalore|north-4|yelehanka old town|32938|GKLPS HOROHALLI|Lower Primary|co-ed|kannada|Singanayakanahalli Post, Yelahanka Hobli|Horohalli|560064|Horohalli Bus Stop Left Side|Cream Colour Compound, Play Ground|285A|White Colour Building|POINT(77.57962 13.13061)
 bangalore|north-4|yelehanka old town|32941|GTHPS KAMAKSHAMMA LAYOUT|Upper Primary|co-ed|telugu|Yelahanka Post|Kamakshamma Layout|560064|Near Railway Station|Infront Main Road|284,401,291D||POINT(77.59262 13.10628)
 bangalore|north-4|mathahalli|33237|GKHPS  PILLAHALLI|Upper Primary|co-ed|kannada|Arishinakunte Post, Dasanapura Hobli, N-4|Pillahalli Colony|562123|Near Pillahalli Colony Bus Stop|Green Colour Building, Playground|255 C, 255 K||POINT(77.43414 13.10556)
 bangalore|south-2|kalasipalya|32439|GKHPS G.R.GALLI|Upper Primary|co-ed|kannada|Gurukar Ramanayakana Lane, S.P.Road Cross, Bangalore|NagarathPete|560002|Opp Karthik Shubdeep Apartments|White Colour Building||Blue Colour Door|POINT(77.58113 12.96524)
 bangalore|south-1|vajara halli|32869|GKHPS BANJARAPALYA|Upper Primary|co-ed|kannada|Thataguni Post, Kengeri Hobli|Banjarapalya|560062|Banjarpalya Bus Stop|White Colour Compound|216, A|Play Ground|POINT(77.48611 12.83013)
 bangalore|south-1|huluvenahalli|33042|GKLPS UDDHANDANA HALLI|Lower Primary|co-ed|kannada|Chikkanahalli Post, Thaverekere Hobli||562130|Near Uddhandanahalli Bus Stop|White Colour Building & White Colour Compound|227 D|Infront Flag Post & Blue Colour Gate|POINT(77.38373 12.88642)
 bangalore|south-4|channasandra|32058|GKHPS SEEGEHALLI|Upper Primary|co-ed|kannada|Kadugodi Main Road, Kannamangala Post B Hobli|Seegehalli|560067|Near Seegehalli Bus Stop|Yellow Colour Builiding & Stone Compound & Black Colour Gate|328, 329, 399|Infront Playground|POINT(77.76154 13.01337)
 bangalore|south-4|channasandra|32062|GKLPS CHIKKABANAHALLI|Lower Primary|co-ed|kannada|Kannamangala Post, Bidarahalli Hobli, Bangalore|Chikkabanahalli|560067|Near Chikkabanahalli Bus Stop|White & Yellow Colour Building|307 C|Blue Colour Gate|POINT(77.75149 13.01913)
 bangalore|south-4|doddakanneli|32190|GKLPS SULIKUNTE|Lower Primary|co-ed|kannada|Dommasandra Post|Sulikunte|562125|Opposite Ashwath Katte|Cream Colour Buidling|342 A-Z|Cream Colour Compound|POINT(77.72833 12.88868)
 bangalore|south-4|doddakanneli|32195|GKLPS JUNNASANDRA|Lower Primary|co-ed|kannada|Karmela Ram Post, Sarjapura Main Road|Junna Sandra|560035|Opposite Royal Bakery & Sweets|White Colour Building|342 A-Z||POINT(77.6837 12.90666)
 bangalore|south-4|hoodi|32304|GKLPS KUNDALAHALLI COLONY|Lower Primary|co-ed|kannada|Mahadevapura post|Kundalahalli colony|560037|Ashwath katte opposite|White colour stone compound,play ground|335,500K,326F|Cream colour building|POINT(77.71167 12.97018)
 bangalore|south-4|kylasanahalli|32591|GKHPS BILISHIVALE|Upper Primary|co-ed|kannada|Rampura Main Road, Doddagubbi Post, Bidarahalli Hobli|Bileshivale|560077|Near Bileshivale Bus Stop|Green Colour Gate & Infront Flag Post|294, 294 D, 295, 295 A|Green Colour Gate & Infront Flag Post|POINT(77.67152 13.0537)
 bangalore|south-4|immadihalli|33341|GKMPS IMMADIHALLI|Model Primary|co-ed|kannada|Immadi Halli Post|Immadi Halli|560066|Opposite B.B.M.P Office|Pink Colour Compound|320A, 320B, 324A, 324B|Cream Colour Building|POINT(77.76002 12.96518)
 bangalore|anekal|attibele|32216|GKHPS ATTIBELE(GIRLS)|Upper Primary|girls|kannada|Sante Beedi,Hosur Main Road, Attibele Post, Attibele Hobli, Anekal Taluk, Bangalore|Attibele|562107|Beside Attibele Bus Stand|Yellow Colour Building & Blue Colour Doors & Infront Flag Post & Sheet Building|360, 360 A,360 B, 600|Yellow Colour Compound & Black Colour Gate & Infront Play Ground & Infront Flyover|POINT(77.77241 12.77816)
 bangalore|south-4|kylasanahalli|32596|GKLPS BANDEBOMMASANDRA|Lower Primary|co-ed|kannada|School Road, Doddagubbi Post, Bidarahalli Hobli, Bangalore East - 4|Bande Bommasandra|560077|Near Muneshwara Swamy Temple & Pattalamma Temple|White Stone Colour Compound & Infront Flag Post|293 B, 293 L, 294 B, 296|Infront Play Ground|POINT(77.68282 13.07577)
