Ward_No,Ward_Name,AC_No,AC_Name,Lat,Long,Reservation,Woman,Voter_turnout_2010,Voters,Votes_casted,Voter_turnout_calc,Winning_Candidate_Name,Gender,Winning_Party,Winning_Votes,BJP,INC,JDS,JDU,CPI_CPIM,Lok_Satta,AIADMK,NDP,NCP,RPI,PSS,PBP,BPP,Ambedkar_National_Congress,Independant1,Independent2,Independent3,Independent4,Independent5,Independent6,Independent7,Independent8,Independent9,Independent10,Independent 11,Independent12
1,Kempe Gowda,150,Yelhanka,13.1145,77.6001,BC-A,,54.09%,28836,15597,54.09%,Y.N.Ashwatha,F,BJP,9372,9372,4579,1495,,,,,,,,,,,,61,89,,,,,,,,,,
2,Choudeshwari,150,Yelhanka,13.1203,77.5811,BC-A, W,55.86%,26113,14597,55.90%,K V Yashodha, F,BJP,7835,7835,6127,470,,,,,,,,,,,,165,,,,,,,,,,,
3,Atooru,150,Yelhanka,13.1023,77.5618,G, W,51.92%,36445,18922,51.92%,K.N.Geetha Shashikumar, F,BJP,8969,8969,6333,541,,,,,,,,,,,,2681,194,204,,,,,,,,,
4,Yelahanka Satellite Town,150,Yelhanka,13.0909,77.5845,BC-A,,50.55%,32849,16605,50.55%,M.Muniraju,M,BJP,10162,10162,5682,761,,,,,,,,,,,,,,,,,,,,,,,
5,Jakkur,152,Byatarayanapura,13.1029,77.6293,G,,51.70%,36376,18803,51.69%,Muneendra Kumar.K.V,M,BJP,7196,7196,6499,3412,,,,,,,,,,,,50,90,14,903,38,11,45,38,578,,,
6,Thanisandra,152,Byatarayanapura,13.0563,77.6237,BC-A, W,36.51%,57697,21062,36.50%,Lalitha, F,JDS,8378,5048,6872,8378,,,,,,,,,,,,142,628,,,,,,,,,,
7,Byatarayanapura,152,Byatarayanapura,13.0617,77.5973,ST, W,42.98%,57572,24745,42.98%,Indira, F,INC,11429,8078,11429,5238,,,,,,,,,,,,,,,,,,,,,,,
8,Kodigehalli,152,Byatarayanapura,13.0539,77.579,BC-B,,46%,35556,16355,46.00%,Ashwath Narayanagowda,M,BJP,6207,6207,,2970,,,,,,,,,,,,789,181,6103,106,,,,,,,,
9,Vidyaranyapura,152,Byatarayanapura,13.0768,77.5697,G, W,50.48%,43503,21457,49.32%,Nandini K, F,BJP,11609,11609,9006,667,,,,,,,,,,,,175,,,,,,,,,,,
10,Doddabommasandra,152,Byatarayanapura,13.0569,77.5587,G,,53.45%,23401,12508,53.45%,M.E.Pillappa,M,BJP,6764,6764,3793,1030,,,,,,,,,,,,176,67,49,629,,,,,,,,
11,Kuvempu Nagar,152,Byatarayanapura,13.0716,77.5425,BC-A, W,40.68%,29501,14844,50.32%,Yashodamma.K.R, F,Independent,5560,4388,3016,1168,,,,,,,,,,,,544,41,127,5560,,,,,,,,
12,Shettihalli,155,Dasarahalli,13.0664,77.5203,SC, W,48.35%,42128,20369,48.35%,Sharadamma, F,BJP,10370,10370,8351,1175,,,,,,,,,,,,135,338,,,,,,,,,,
13,Mallasandra,155,Dasarahalli,13.0545,77.5151,BC-A, W,41.95%,35557,14915,41.95%,R.P.Shashi, F,BJP,8026,8026,3105,3784,,,,,,,,,,,,,,,,,,,,,,,
14,Bagalakunte,155,Dasarahalli,13.0583,77.5006,G,,49.54%,47908,24130,50.37%,B.R.Chandrashekar,M,BJP,10183,10183,5567,5157,,126,,,,,,,,,,140,101,1720,792,248,96,,,,,,
15,T. Dasarahalli,155,Dasarahalli,13.0453,77.5147,G, W,41.21%,35112,14468,41.21%,Puttamma, F,BJP,6663,6663,2911,4350,,,,,,,,,,,,428,116,,,,,,,,,,
16,Jalahalli,154,Rajarajeshwari Nagar,13.0464,77.5394,SC,,50.83%,25890,13160,50.83%,R. Narayana Swamy,M,INC,7194,5423,7194,325,,,,,,,,,,,,218,,,,,,,,,,,
17,J.P. Park,154,Rajarajeshwari Nagar,13.0368,77.5529,G,,44.22%,45548,19260,42.29%,B.R.Nanjudappa,M,BJP,11872,11872,6150,921,,317,,,,,,,,,,,,,,,,,,,,,
18,Radha Krishna Temple,158,Hebbal,13.0383,77.5705,BC-A,,34.70%,35753,12409,34.71%,D.Venkatesh,M,BJP,5168,5168,4932,1674,,,,,,,,,,,,251,384,,,,,,,,,,
19,Sanjaynagar,158,Hebbal,13.0394,77.5778,BC-B,,36.80%,29913,11020,36.84%,N.M.Krishnamurthy,M,BJP,4207,4207,4106,1619,,,,,,,,,,,,450,638,,,,,,,,,,
20,Ganganagar,158,Hebbal,13.0327,77.5863,G,,47.06%,26695,12510,46.86%,Anand.V,M,BJP,5339,5339,4126,2942,,,,,,,,,,,,103,,,,,,,,,,,
21,Hebbal,158,Hebbal,13.0341,77.593,G,,45.45%,27970,12687,45.36%,Jayappa Reddy C.R,M,BJP,6646,6646,3597,1968,,,,,,,,,,,,128,26,54,81,187,,,,,,,
22,Vishwanatha Nagenahalli,158,Hebbal,13.0353,77.6037,BC-B, W,44.25%,36069,15970,44.28%,Munirathnamma, F,INC,7081,5318,7081,3571,,,,,,,,,,,,,,,,,,,,,,,
23,Nagawara,160,Sarvagna Nagar,13.0315,77.6167,G, W,37.16%,50174,18643,37.16%,Irshad Begum, F,INC,9526,773,9526,3168,,,,,,,,,,,,3744,1370,62,,,,,,,,,
