"Sl","Station Code","Station","Unit","DCP","ACP"
1,1644315,"Cubbon Park # 7 cubbon park police station kasturba road bangalore 560001Ph no. 080-22942675","Bangalolre City","Central Division, Bangalore City","Cubbon Park"
2,1644316,"V.V.Tower Ambedkar beedi,v.v.tower,bangalore-01Ph no. 080-22943443","Bangalolre City","Central Division, Bangalore City","Cubbon Park"
3,1644390,"Vidhanasoudha Vidhana Soudha West Gate Bangalore-560001Ph no. 080-22942590 080-22259668","Bangalolre City","Central Division, Bangalore City","Cubbon Park"
4,1644332,"Highgrounds Palace rd, bangalore -01Ph no. 080-22942671","Bangalolre City","Central Division, Bangalore City","Seshadripuram"
5,1644370,"Seshadripuram Seshadripuram ps, banglaore - 20Ph no. 080-22942586 080-23446564","Bangalolre City","Central Division, Bangalore City","Seshadripuram"
6,1644374,"Sadashivanagar Sadashivanaga, c v raman road, bangalorePh no. 080-22942589 080-23600358","Bangalolre City","Central Division, Bangalore City","Seshadripuram"
7,1644389,"Vyalikaval 2nd cross, between 9th and 11th cross, vyalikaval, bangalore-03Ph no. 080-22942588 080-23443484","Bangalolre City","Central Division, Bangalore City","Seshadripuram"
8,1644371,"S.J.Park Kumbaragundi road, bangalore cityPh no. 080-22942583 080-22237745","Bangalolre City","Central Division, Bangalore City","ULSOORGATE"
9,1644372,"Ashoknagar Ashoknagar ps,commissionerate street,bangalore-25Ph no. 080-22942580 080-25576623","Bangalolre City","Central Division, Bangalore City","ULSOORGATE"
10,1644377,"S.R.Nagar Mission Road,4th Main, S R Nagar, Bangalore-27Ph no. 080-22942582 080-22238568","Bangalolre City","Central Division, Bangalore City","ULSOORGATE"
11,1644385,"Ulsoorgate Cubbon pet Main Road,Near Hudson Circle,Bangalore-02Ph no. 080-22942660 080-22942579","Bangalolre City","Central Division, Bangalore City","ULSOORGATE"
12,1644388,"Viveknagar Viveka Nagar Post, Vivek Nagar further extension, Bangalore-47Ph no. 080-22942584 080-25717100","Bangalolre City","Central Division, Bangalore City","ULSOORGATE"
13,1644393,"Wilsongarden No-Nil, 7th Cross, H.Siddaiah Road,Wilsongarden, B'lore-27Ph no. 080-22942581 080-22235537","Bangalolre City","Central Division, Bangalore City","ULSOORGATE"
14,1644330,"Hal White Field Main Road bangalore-37Ph no. 080-22942542 080-25235432","Bangalolre City","East Division, Bangalore City","Airport"
15,1644308,"Bowring hospital Bowring p.s, bowring hospital doctors quarters, bangalore.Ph no. 080-22942551","Bangalolre City","East Division, Bangalore City","Frazer town"
16,1644313,"Bharathinagar Bharathi Nagar P.S, Corporation No.C-80/01/12, St.John Church Road, Bharathi Nagar, Bangalore. Ph no. 080-22942547 080-25366393","Bangalolre City","East Division, Bangalore City","Frazer town"
17,1644314,"Commercial Street Com.street p.s commercial street, bangalore-01Ph no. 080-22942549 080-25587880","Bangalolre City","East Division, Bangalore City","Frazer town"
18,1644318,"D.J.Halli D.j halli main road, anand complex, d.j halli, bangalore-560045Ph no. 080-22942550 080-25466413","Bangalolre City","East Division, Bangalore City","Frazer town"
19,1644325,"Frazer town Frazertown p.s , frazer town main road, bangalore.Ph no. 080-22942548 080-25487365","Bangalolre City","East Division, Bangalore City","Frazer town"
20,1644304,"Banasawadi Near KEB Office,5th Main,2nd Block,HRBR Layout,Bangalore-43Ph no. 080-22942552 080-25452103","Bangalolre City","East Division, Bangalore City","K.R.Puram"
21,1644336,"Hennur Hennur main road, hennur bangalore-43Ph no. 080-22942557 080-25442250","Bangalolre City","East Division, Bangalore City","K.R.Puram"
22,1644346,"Kadugondanahalli K.g halli p.s, nagavara main road, kadugondanahalli, bangalore-45Ph no. 080-22942556 080-25474595","Bangalolre City","East Division, Bangalore City","K.R.Puram"
23,1644349,"K.R.Puram K.r pura p.s, k.r puram, bangalore-36Ph no. 080-22942553 080-25610322","Bangalolre City","East Division, Bangalore City","K.R.Puram"
24,1644353,"Mahadevapura Mahadevapura P.S, Singaianpalya, Whitefield Main Road, Bangalore. Ph no. 080-22942546 080-28510782","Bangalolre City","East Division, Bangalore City","K.R.Puram"
25,1644367,"Ramamurthynagar R.m nagar p.s, r.m nagar main road, bangalore-16Ph no. 080-22942554 080-25650222","Bangalolre City","East Division, Bangalore City","K.R.Puram"
26,1644307,"Byappanahalli Byappanahalli p.s, old madras road, near ngef factory, bangalore-38Ph no. 080-22942545","Bangalolre City","East Division, Bangalore City","Ulsoor"
27,1644326,"Airport #D-32, near hal post office , airport main road. Bangalore-17Ph no. 080-22942544 080-25232153","Bangalolre City","East Division, Bangalore City","Ulsoor"
28,1644328,"Jeevanabimanagar J.B NAGAR P.S, 10TH MAIN, BANGALORE-75, Ph no. 080-22942543 080-25264352","Bangalolre City","East Division, Bangalore City","Ulsoor"
29,1644337,"Indiranagar Indira nagar p.s, old madras road, bangalore-38Ph no. 080-22942658 080-22942541","Bangalolre City","East Division, Bangalore City","Ulsoor"
