Bst_ID,NAME,Ward_No,X,Y
Blr_Bst000738,Trinity Circle (Church),114,77.6198163125,12.9725111086
Blr_Bst000352,Philips (Ulsoor Lake),114,77.6215996446,12.9728166674
Blr_Bst000354,Binnamangala,80,77.6403329619,12.9839499972
Blr_Bst000358,Benniganahalli,57,77.6635162857,12.9941499969
Blr_Bst000357,Kaggadasapura Jn (Big Bazaar),57,77.6576162899,12.991299997
Blr_Bst000136,K. R. Puram Rlwy Station,56,77.6768829361,13.0002166667
Blr_Bst000792,ITI Bus Stop,55,77.6860829327,13.0055277744
Blr_Bst000771,Vannar Pete,114,77.6210496447,12.9563333274
Blr_Bst000740,Passport Office,147,77.6186496461,12.9461833275
Blr_Bst000768,Koramangala (80 FT RD),148,77.6264996406,12.9378999974
Blr_Bst000889,Koramangala (SONY World),151,77.6266829704,12.9369666674
Blr_Bst000741,NGV Center,148,77.6225996433,12.9426166674
Blr_Bst000899,Koramangala 1st Block,173,77.6338313053,12.9247749973
Blr_Bst000841,Coles park,78,77.6084163206,12.9982499976
Blr_Bst000840,Fraser town (Doddi stop),60,77.6121496515,13.0027999975
Blr_Bst000839,Amanath Bank Stop,60,77.6123829848,13.0062333309
Blr_Bst000837,Venketeshpuram02,31,77.6188496474,13.0201166641
Blr_Bst000823,K.G. Halli,30,77.6190663139,13.0207833308
Blr_Bst000825,Govindapura Cross,24,77.6220829787,13.0325333307
Blr_Bst000836,Arabic college,23,77.620666313,13.0293499974
Blr_Bst000691,Kengeri,159,77.4839663977,12.9103666688
Blr_Bst00065,Mylasandra (Mysore Raod),159,77.4906997241,12.9177166655
Blr_Bst00068,Bangalore University Gate,129,77.5130663784,12.9355499986
Blr_Bst000512,Panthara palya,160,77.524216372,12.9402166651
Blr_Bst000684,BWSSB Quaters,131,77.5235497057,12.9396833285
Blr_Bst000509,Byatarayanapura Police Station,157,77.5399996962,12.951666665
Blr_Bst000680,Vinayaka Stop,140,77.5605330139,12.9615666681
Blr_Bst000700,Jaraganhalli,185,77.5733996749,12.902149998
Blr_Bst000702,Metro Mall (Kanakapura RD),185,77.5684663478,12.894183328
Blr_Bst000722,Sarakki Gate,180,77.5729330053,12.910116668
Blr_Bst000384,Lalbagh Main Gate,143,77.5849996684,12.9540999978
Blr_Bst000454,Purnima Bus Stop,118,77.585682998,12.9553499978
