"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
1,1,210,"K R Market","Uttarahalli",13.2,3,29,29,58,,,
2,,"210-A","Kempegowda Bus Stn","ISRO Layout (Ord + AC-Su )",13.9,7,56,56,112,,,
3,,"210-B","K R Market","Chunchaghatta",11.6,1,9,9,18,,,
4,,"210-C","K R Market","Gubbalal",11.5,1,8,8,16,,,
5,,"210-CA","Kempegowda Bus Stn","Gubbalala",17,1,6,6,12,,,
6,,"210-D","K R Market","Vasanthapura",12.5,1,10,10,20,,,
7,,"210-E","Kempegowda Bus Stn","Vasanthapura",16.5,8,50,50,100,,,
8,,"210-EA","Kempegowda Bus Stn","BGS 4 City ",21,1,10,"GS",10,,,
9,,"210-F","Shivajinagar","Uttarahalli",17.5,1,9,9,18,,,
10,,"210-G","Shivajinagar","ISRO Layout",20,7,44,45,89,,,
11,,"210-GA","Shivajinagar","Kumaraswamy Layout West",16.5,1,8,8,16,,,
12,,"210-H","Shivajinagar","Uttarahalli",17.1,3,23,23,46,,,
13,,"210-HA","Shivajinagar","Poornaprajna layaout",17,1,8,10,18,,,
14,,"210-I","Kempegowda Bus Stn","Chikkalasandra",14.3,3,15,15,30,,,
15,,"210-J","Kempegowda Bus Stn","Chikkalasandra(R.A.Layout)",15.7,2,14,14,28,,,
16,,"210-JA","Kempegowda Bus Stn","Uttarahalli",16.8,4,40,40,80,,,
17,,"210-K","Kempegowda Bus Stn","BHCS Layout ",14.7,1,6,6,12,,,
18,,"210-KA","Kempegowda Bus Stn","BHCS Layout ",15.5,2,6,6,12,,,
19,,"210-KB","Shivajinagar","BHCS Layout ",16.2,1,10,"GS",10,,,
20,,"210-M","Mahalakshmi Layout ","Naidu Layout",20.5,1,9,9,18,,,
21,,"210-N","Kempegowda Bus Stn","Uttarahalli",15.8,7,49,49,98,,,
22,,"210-NA","Kempegowda Bus Stn","Poornapragna layaout",17,2,12,12,24,,,
23,,"210-P","Kempegowda Bus Stn","Chikkalasandra Village",15.7,6,26,26,52,,,
24,,"210-Q","Shivajinagar","Chikkakallasandra Village",15,4,21,21,42,,,
25,,"210-R","Kempegowda Bus Stn","Vasanthapura",16.2,5,23,23,46,,,
26,,"210-T","Banashankari","Banashankari (Ring Route)",12,3,25,25,50,,,
27,,"210-U","Kempegowda Bus Stn","Kumaraswamy Layout West",13.9,3,32,32,64,,,
28,,"210-V","Banashankari","Banashankari (Ring Route)",12,3,35,35,70,,,
29,,"210-W","Kempegowda Bus Stn","Karishma Hills",18.9,1,14,14,28,,,
30,,"210X","Kempegowda Bus Stn","Chandra  Nagara",15.1,1,8,8,16,,,
31,,"210-Z","Kempegowda Bus Stn","Chikkalasandra Naidu Layout",14.8,2,25,25,50,,,
32,,"210-ZA","Kempegowda Bus Stn","Chikkalasandra Naidu. Layout ",16.7,1,8,8,16,,,
33,2,211,"K R Market","Somanahalli",26.6,4,18,18,36,,,
34,,"211-A","K R Market","Vajramuneshwara Temple",14.5,1,8,8,16,,,
35,,"211-B","Kempegowda Bus Stn","Somanahalli",31.7,1,6,6,12,,,
36,,"211-C","K R Market","Vaderahalli",22.9,2,14,14,28,,,
37,,"211-D","K R Market","Naganayakanahalli ",26.6,1,5,5,10,,,
38,,"211-DA","K.R. Market","Mallipalya ",29.3,1,3,3,6,,,
39,,"211-E","K R Market","Karenahalli",29.7,1,9,9,18,,,
40,,"211-F","K R Market","Kaggalipura",28.5,1,5,5,10,,,
41,,"211-G","K R Market","Kodiyala",31.5,1,6,6,12,,,
42,,"211-H","K R Market","Mukkodlu",31.8,2,13,13,26,,,
43,,"211-J","Kempegowda Bus Stn","Vaderahalli",27.3,1,6,6,12,,,
44,,"211-K","K R Market","Gudipalya",27.5,1,6,6,12,,,
45,,"211-L","Kempegowda Bus Stn","B.C.C.Layout",18.1,1,7,7,14,,,
46,,"211-N","K R Market","Bidadi",42,2,10,10,20,,,
47,,"211-P","K.R.Market","Kere Choodahalli",26.8,1,5,3,8,,,
48,,"211-Q","K.R.Market","Kathalepalya",31.7,1,3,5,8,,,
49,,"211-R","K.R.Market","Anchipura Colony",36.4,1,6,"GS",6,,,
50,,"211-T","K.R.Market","O.B. Choodahalli ",20.5,1,8,"GS",8,,,
51,3,212,"K R Market","Agara",21.5,3,18,18,36,,,
52,,"212-B","K R Market","Narayanapura",30.5,1,6,6,12,,,
53,,"212-C","K.R.Market","Nagegowdana Palya",19,1,7,7,14,,,
54,,"212-D","Kempegowda Bus Stn","Agara",25.6,1,7,"GS",7,,,
55,,"212-F","Kempegowda Bus Stn","Tatthaguni",22.8,1,12,"GS",12,,,
56,4,213,"K R Market","Ravagodlu",30.7,3,16,16,32,,,
57,,"213-A","K R Market","Nettigere",28.7,1,6,6,12,,,
58,,"213-B","K R Market","Kaggalahalli",31.5,1,6,6,12,,,
59,,"213-C","K R Market","Nowkalpalya",25.1,1,6,6,12,,,
60,,"213-D","K.R.Market","Kempaiahnapalya ",44.1,2,6,6,12,,,
61,,"213-DA ","K.R.Market","Byramangala ",42,1,3,3,6,,,
62,,"213-E","K R Market","Thoka Thimmana Doddi",32.3,1,7,7,14,,,
63,,"213-F","K R Market","Bannigiri",32,1,5,5,10,,,
64,,"213-FA","K R Market","Kodipalya",34,1,6,6,12,,,
65,,"213-G","K.R.Market","Gabbadi",34.1,1,5,3,8,,,
66,,"213-H","K.R.Market","Bettahalli Kaval ",34.4,1,3,5,8,,,
67,,"213-J","K.R.Market","Bhokipura ",33.8,1,3,3,6,,,
68,,"213-K","K R Market","Bovi Colony(Gundanjaneya Temple) ",31.7,2,12,12,24,,,
69,,"213-L","K R Market","Hosadoddi",28.7,1,5,5,10,,,
70,,"213-M","K.R.Market","Allalasandra",37,1,4,4,8,,,
71,,"213-N","Kempegowda Bus Stn","Nettigere",32.7,1,5,5,10,,,
72,,"213-P","K.R.Market","Thayappana Doddi",37.5,2,6,6,12,,,
73,,"213-Q","K.R.Market","Muthurayanapura",35.6,1,2,3,5,,,
74,,"213-QA","K.R.Market","Gottigehalli",36.5,1,6,"GS",6,,,
75,,"213-R","K.R.Market","Sadanapalya",28.3,1,8,"GS",8,,,
76,,"213-T","K.R.Market","Veerasandra",29.7,1,5,5,10,,,
77,5,214,"K R Market","Tattaguppe",29,3,18,18,36,,,
78,,"214-A","Shivajinagar","Tattaguppe",34,1,3,3,6,,,
79,,"214-B","K R Market","Girigowdana Doddi",33,1,6,6,12,,,
80,,"214-C","Kempegowda Bus Stn","Mukkodlu",31,1,6,6,12,,,
81,,"214-D","K R Market","Taralu  Estate",28,5,25,25,50,,,
82,,"214-E","K R Market","Muni Nagara",32.3,2,3,3,6,,,
83,,"214-F","Yeshwanthpur Reg.Market","Mukkodlu",35.5,1,3,5,8,,,
84,,"214-G","K.R.Market","Gottigehalli",36.3,2,9,9,18,,,
85,,"214-H","K.R.Market","Gullhatti kaval",35.2,2,12,12,24,,,
86,,"214 -J","K R Market","Nallakkana Doddi",26.5,1,6,6,12,,,
