"oute No.","Origin","BIAL","Via Places","All Routes pass by these bus stops"
"BIAS-4","HAL Main Gate","BIAL","Chinmaiah Hospital , Indiranagar Police station, Halsoor, Halsoor Lake , Taj Residency, Lakeside Hospital, St.Johns Road, J.C.Nagara","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-5","J.P.Nagara 6th Phase","BIAL","Jayanagara 4th Block,Shanthinagara Bus Stand,Hotel Ramanashree,Hotel Woodlands,Bangalore Club, High Grounds, Le Meridian, Windsor Manor","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-6","Kadugodi Bus Station","BIAL","Hope Farm, Whitefield Post Office, Siddapura, Marathahalli Bridge, HAL, Leela Palace, Royal Orchard, Domlur, Taj Residency, Lakeside Hospital, St.Johns Road, J.C.Nagara","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-7","H.S.R. Layout (BDA Complex)","BIAL","Madiwala, Forum/Checkpost, Shanthinagara Bus Stand, Richmond Circle,Chancery Pavillion, Bowring Institute, Bangalore Club, Indian Express, Vasantanagara, RM Guttahalli,","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-7 A","H.S.R. Layout (BDA Complex)","BIAL","Koramangala, BDA Complex, Koramangala Sony World , Dell Software Complex, Domlur, M.G.Road, GPO, Windsor Manor, RM.Guttahalli","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-8","Electronic City","BIAL","Bommanahalli, Central Silk Board, Agara,Marathahalli Ring Road, K.R.Puram Railway Station, Kalyana Nagara,","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-8 A","Kuvempu Nagar","BIAL","Central Silk Board, Agara,Marathahalli Ring Road, K.R.Puram Railway Station, Kalyana Nagara","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-9","Majestic/ KBS","BIAL","Shivananda Circle/Central, Grand Ashoka, Windsor Manner, R.M. Guttahalli","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-10","MCTC Bus Station","BIAL","Vijaynagar, Basaveswaranagar, Modi Hospital , Navarang , Malleshwaram,","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-11","Chikkalasandra Bus Stand","BIAL","Padmanabhanagara, Kathariguppe, Hosakerehalli Cross, PES College, BHEL Deepanjali Nagara,Vijayanagara, Navarang,Malleshwaram , Sadashiv Nagara, Bashyam Circle","Mekhri Circle, Hebbala, Kogilu Cross"
"BIAS-12","Kuvempu Nagara (BTM Layout)","BIAL","J.P.Nagara Phase III,Jayangara 9th Block East,Jayanagar Bus Station,Vijaya College, Minerva Circle, Corporation, Kasturba Road, Basaveshwara Circle","Mekhri Circle, Hebbala, Kogilu Cross"
" N/A"," N/A",,," N/A"
