
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1902"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1903"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1904"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1905"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1906"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1907"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1908"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1909"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1910"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1911"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1912"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1913"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1914"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1915"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1916"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1917"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1918"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1919"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1920"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1921"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1922"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1923"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1924"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1925"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1926"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1927"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1928"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1929"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1930"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1931"	"24.438"	"20.874"	"21.942"	"34.699"	"42.883"	"66.709"	"75.382"	"72.93"	"60.578"	"52.334"	"41.943"	"37.245"
"1932"	"21.944"	"26.467"	"26.187"	"40.56"	"52.715"	"75.206"	"84.31"	"74.252"	"66.16"	"67.977"	"56.896"	"35.845"
"1933"	"25.845"	"24.277"	"24.063"	"34.998"	"43.334"	"69.419"	"78.102"	"71.653"	"63.778"	"58.177"	"45.022"	"34.645"
"1934"	"28.202"	"21.684"	"24.063"	"37.116"	"45.798"	"69.744"	"76.171"	"70.474"	"61.177"	"57.041"	"41.519"	"32.545"
"1935"	"28.186"	"25.092"	"25.423"	"37.496"	"47.27"	"70.001"	"78.839"	"71.653"	"63.52"	"57.14"	"43.124"	"35.845"
"1936"	"25.845"	"23.711"	"22.844"	"37.496"	"49.183"	"68.945"	"77.835"	"71.653"	"62.442"	"58.157"	"47.065"	"35.845"
"1937"	"25.845"	"24.228"	"25.206"	"34.771"	"40.592"	"71.485"	"81.827"	"68.671"	"60.074"	"58.177"	"44.858"	"34.645"
"1938"	"23.881"	"24.212"	"24.063"	"33.313"	"45.397"	"70.034"	"81.178"	"70.87"	"63.778"	"55.751"	"42.093"	"35.802"
"1939"	"25.845"	"23.486"	"24.21"	"36.297"	"46.298"	"69.443"	"78.653"	"71.653"	"62.277"	"56.738"	"47.364"	"33.444"
"1940"	"23.656"	"24.086"	"24.523"	"34.998"	"46.298"	"70.843"	"84.594"	"74.968"	"63.428"	"56.937"	"50.255"	"37.204"
"1941"	"27.002"	"26.286"	"28.58"	"39.734"	"50.536"	"72.686"	"80.002"	"72.952"	"66.06"	"60.537"	"47.364"	"34.891"
"1942"	"24.438"	"23.166"	"23.724"	"35.112"	"46.597"	"69.339"	"81.119"	"71.805"	"62.593"	"57.974"	"42.296"	"39.744"
"1943"	"27.002"	"21.684"	"23.805"	"36.091"	"47.291"	"73.126"	"81.178"	"70.452"	"64.717"	"57.14"	"46.907"	"34.645"
"1944"	"25.845"	"23.828"	"24.063"	"35.845"	"43.844"	"68.031"	"79.478"	"68.574"	"60.159"	"53.332"	"45.642"	"34.645"
"1945"	"24.438"	"24.135"	"23.488"	"33.998"	"45.496"	"64.739"	"79.28"	"71.023"	"61.15"	"55.184"	"47.364"	"34.82"
"1946"	"23.411"	"22.784"	"23.808"	"34.998"	"46.931"	"72.686"	"80.002"	"75.95"	"64.86"	"58.7"	"52.364"	"39.774"
"1947"	"29.5"	"25.926"	"27.706"	"37.956"	"44.315"	"67.047"	"81.997"	"72.409"	"64.738"	"58.839"	"40.205"	"35.822"
"1948"	"27.78"	"22.785"	"24.063"	"33.841"	"42.63"	"69.193"	"78.795"	"70.452"	"63.778"	"53.468"	"45.824"	"34.68"
"1949"	"23.244"	"21.684"	"22.88"	"34.379"	"46.192"	"72.07"	"81.562"	"72.952"	"63.778"	"57.974"	"42.263"	"31.064"
"1950"	"24.438"	"22.844"	"23.961"	"35.757"	"46.298"	"70.929"	"81.961"	"71.257"	"65.025"	"55.539"	"45.381"	"33.444"
"1951"	"27.002"	"23.626"	"24.063"	"34.598"	"43.817"	"67.314"	"76.796"	"72.952"	"61.682"	"55.539"	"47.364"	"32.147"
"1952"	"18.822"	"21.698"	"23.229"	"34.218"	"43.757"	"63.015"	"76.726"	"72.054"	"59.777"	"56.72"	"40.465"	"35.769"
"1953"	"27.461"	"21.55"	"23.322"	"33.698"	"43.73"	"66.838"	"78.579"	"70.452"	"60.249"	"56.669"	"42.286"	"32.147"
"1954"	"26.617"	"21.311"	"22.822"	"34.491"	"44.015"	"70.212"	"78.696"	"71.653"	"62.411"	"56.937"	"39.748"	"35.845"
"1955"	"27.422"	"24.302"	"25.18"	"36.671"	"49.091"	"80.839"	"81.649"	"74.138"	"64.743"	"59.972"	"45.559"	"33.904"
"1956"	"26.099"	"22.345"	"22.6"	"35.631"	"48.061"	"77.867"	"81.751"	"73.959"	"66.06"	"60.57"	"47.606"	"34.305"
"1957"	"26.291"	"23.856"	"23.841"	"33.857"	"47.919"	"76.005"	"85.265"	"75.453"	"63.034"	"60.299"	"47.364"	"37.105"
"1958"	"25.703"	"25.249"	"24.746"	"33.404"	"47.657"	"67.802"	"82.402"	"74.834"	"64.618"	"61.837"	"48.592"	"34.935"
"1959"	"26.419"	"22.681"	"21.467"	"33.718"	"44.056"	"74.453"	"82.428"	"73.011"	"65.145"	"61.449"	"45.391"	"34.756"
"1960"	"27.002"	"21.733"	"23.643"	"32.015"	"47.477"	"67.744"	"80.959"	"71.606"	"65.194"	"56.558"	"51.12"	"34.705"
"1961"	"31.162"	"26.983"	"32.04"	"34.424"	"47.838"	"74.505"	"85.236"	"74.252"	"63.698"	"57.673"	"46.234"	"36.309"
"1962"	"26.052"	"25.124"	"24.063"	"36.714"	"47.216"	"67.984"	"81.543"	"75.453"	"65.25"	"61.378"	"42.263"	"35.867"
"1963"	"29.233"	"20.247"	"24.046"	"34.014"	"43.548"	"69.856"	"78.586"	"72.752"	"61.083"	"58.836"	"47.364"	"35.845"
"1964"	"21.944"	"21.134"	"22.818"	"35.839"	"44.777"	"67.445"	"79.332"	"72.752"	"64.758"	"57.862"	"45.749"	"32.154"
"1965"	"23.735"	"22.07"	"23.121"	"34.993"	"45.947"	"65.043"	"76.079"	"71.952"	"62.277"	"53.735"	"44.597"	"39.494"
"1966"	"28.202"	"22.398"	"23.315"	"34.391"	"45.377"	"69.307"	"80.46"	"71.653"	"62.825"	"54.728"	"49.168"	"36.584"
"1967"	"24.438"	"15.543"	"22.092"	"31.093"	"47.038"	"70.492"	"79.481"	"72.512"	"63.854"	"57.596"	"39.301"	"39.897"
"1968"	"27.002"	"23.662"	"24.823"	"34.598"	"44.697"	"68.503"	"82.604"	"71.674"	"62.977"	"55.638"	"45.869"	"35.177"
"1969"	"24.636"	"23.833"	"23.084"	"33.824"	"45.889"	"68.569"	"78.579"	"72.104"	"63.474"	"56.119"	"44.331"	"37.791"
"1970"	"27.002"	"23.993"	"24.921"	"36.366"	"47.695"	"71.936"	"78.601"	"74.252"	"64.261"	"59.351"	"47.326"	"29.578"
"1971"	"27.762"	"23.421"	"24.682"	"34.749"	"46.83"	"74.934"	"78.383"	"71.653"	"64.86"	"60.042"	"38.972"	"34.648"
"1972"	"22.365"	"22.203"	"21.276"	"36.24"	"50.151"	"65.928"	"79.473"	"68.912"	"61.769"	"59.593"	"46.629"	"37.942"
"1973"	"23.665"	"22.125"	"23.376"	"36.297"	"45.969"	"71.679"	"80.699"	"75.551"	"64.542"	"60.159"	"42.263"	"36.58"
"1974"	"24.206"	"17.866"	"22.509"	"35.787"	"46.677"	"67.284"	"80.234"	"72.844"	"64.876"	"59.289"	"39.25"	"31.082"
"1975"	"24.438"	"25.071"	"25.106"	"34.795"	"46.931"	"74.671"	"80.738"	"75.438"	"67.121"	"64.321"	"46.388"	"33.416"
"1976"	"26.175"	"19.179"	"22.787"	"35.699"	"43.644"	"60.791"	"78.322"	"71.893"	"62.695"	"55.635"	"51.652"	"35.022"
"1977"	"23.167"	"24.285"	"25.076"	"36.797"	"48.911"	"71.245"	"80.857"	"73.893"	"62.937"	"60.781"	"51.958"	"33.444"
"1978"	"27.525"	"25.053"	"24.586"	"34.675"	"47.297"	"73.025"	"81.69"	"74.593"	"63.783"	"57.017"	"47.911"	"41.363"
"1979"	"30.747"	"28.36"	"24.282"	"31.946"	"45.214"	"69.824"	"81.076"	"72.314"	"66.319"	"56.738"	"54.799"	"37.245"
"1980"	"23.704"	"21.75"	"23.162"	"36.636"	"44.399"	"75.206"	"79.277"	"72.594"	"62.494"	"53.999"	"45.305"	"36.969"
"1981"	"25.96"	"22.785"	"24.397"	"35.02"	"46.163"	"71.067"	"80.002"	"72.952"	"63.778"	"58.681"	"46.032"	"36.487"
"1982"	"25.845"	"23.359"	"24.518"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.597"	"46.564"	"35.792"
"1983"	"25.845"	"23.385"	"24.063"	"34.998"	"46.298"	"70.026"	"79.62"	"72.952"	"63.778"	"58.943"	"46.327"	"35.845"
"1984"	"25.845"	"23.385"	"24.063"	"34.998"	"46.298"	"70.823"	"80.002"	"72.952"	"63.778"	"58.177"	"45.778"	"35.645"
"1985"	"25.845"	"22.801"	"23.422"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.544"	"45.764"	"35.845"
"1986"	"25.845"	"22.61"	"24.063"	"34.981"	"46.298"	"70.021"	"79.62"	"72.952"	"63.778"	"58.19"	"46.623"	"35.878"
"1987"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"69.904"	"80.002"	"72.952"	"63.778"	"58.177"	"46.247"	"35.845"
"1988"	"25.845"	"22.785"	"24.063"	"34.998"	"46.341"	"70.257"	"80.002"	"72.952"	"63.778"	"58.791"	"45.965"	"35.845"
"1989"	"25.558"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.337"	"45.965"	"35.845"
"1990"	"25.845"	"22.785"	"24.063"	"34.998"	"46.185"	"70.021"	"80.002"	"72.952"	"63.778"	"58.298"	"46.324"	"35.845"
"1991"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1992"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1993"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1994"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1995"	"25.845"	"22.785"	"24.063"	"34.998"	"46.298"	"70.021"	"80.002"	"72.952"	"63.778"	"58.177"	"45.965"	"35.845"
"1996"	"19.001"	"11.182"	"22.153"	"34.517"	"45.097"	"77.026"	"84.16"	"78.714"	"77.123"	"56.252"	"54.424"	"49.543"
"1997"	"31.064"	"16.215"	"28.481"	"34.342"	"46.706"	"66.862"	"87.225"	"76.244"	"64.074"	"46.758"	"55.056"	"47.563"
"1998"	"23.816"	"17.862"	"21.181"	"30.162"	"51.58"	"75.426"	"81.258"	"76.351"	"74.17"	"60.5"	"44.858"	"45.397"
"1999"	"22.676"	"18.676"	"26.996"	"33.22"	"59.38"	"66.846"	"84.328"	"71.259"	"60.323"	"58.753"	"36.843"	"41.598"
"2000"	"23.041"	"36.934"	"20.457"	"33.22"	"46.223"	"84.612"	"79.208"	"73.158"	"63.674"	"60.581"	"39.669"	"35.441"
"2001"	"36.971"	"19.386"	"27.893"	"39.502"	"45.971"	"84.435"	"82.738"	"76.563"	"68.424"	"60.911"	"45.88"	"44.837"
"2002"	"34.91"	"24.291"	"26.141"	"29.629"	"56.991"	"79.277"	"73.373"	"71.76"	"55.25"	"60.418"	"41.474"	"36.098"
