
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.094"	"24.243"	"25.398"	"27.74"	"26.328"	"24.735"	"23.969"	"24.154"	"25.097"	"24.301"	"23.09"	"21"
"1902"	"21.588"	"22.93"	"26.277"	"27.442"	"27.118"	"25.477"	"24.428"	"25.019"	"23.94"	"23.759"	"22.79"	"22.184"
"1903"	"22.296"	"23.969"	"26.552"	"27.764"	"26.718"	"25.132"	"24.004"	"23.958"	"23.925"	"23.587"	"21.693"	"20.727"
"1904"	"20.982"	"22.623"	"25.636"	"27.51"	"25.878"	"23.714"	"23.278"	"24.032"	"24.408"	"24.185"	"22.214"	"21.119"
"1905"	"21.74"	"24.158"	"26.095"	"26.977"	"26.863"	"25.271"	"24.453"	"24.444"	"24.476"	"24.007"	"23.029"	"21.372"
"1906"	"22.935"	"24.68"	"25.505"	"28.822"	"28.272"	"25.006"	"24.021"	"23.919"	"23.341"	"23.897"	"23.09"	"21.686"
"1907"	"21.529"	"23.739"	"25.841"	"26.807"	"26.55"	"24.536"	"23.977"	"23.375"	"24.518"	"24.394"	"22.942"	"21.748"
"1908"	"21.974"	"23.289"	"25.262"	"28.201"	"26.575"	"25.321"	"23.338"	"23.84"	"24.347"	"24.336"	"22.52"	"21.305"
"1909"	"22.07"	"23.86"	"26.425"	"27.133"	"26.177"	"24.895"	"23.555"	"24.212"	"23.64"	"24.232"	"23.534"	"22.55"
"1910"	"22.083"	"23.578"	"26.377"	"28.064"	"27.479"	"24.948"	"24.271"	"23.583"	"23.189"	"23.695"	"21.696"	"20.648"
"1911"	"21.982"	"22.145"	"25.835"	"27.523"	"26.688"	"24.791"	"23.688"	"23.988"	"25.01"	"23.983"	"23.15"	"21.989"
"1912"	"21.439"	"24.707"	"26.636"	"28.039"	"28.055"	"25.034"	"23.834"	"24.045"	"24.422"	"23.758"	"22.337"	"20.928"
"1913"	"20.976"	"23.88"	"26.379"	"28.19"	"27.335"	"24.917"	"23.528"	"24.23"	"25.097"	"23.738"	"22.721"	"22.442"
"1914"	"21.18"	"24.222"	"26.557"	"27.525"	"27.47"	"25.912"	"23.969"	"23.979"	"24.726"	"24.013"	"23.01"	"22.604"
"1915"	"22.453"	"24.358"	"25.98"	"27.747"	"27.263"	"25.407"	"24.519"	"25.001"	"24.642"	"24.579"	"23.142"	"21.069"
"1916"	"21.118"	"23.935"	"26.373"	"28.217"	"26.813"	"23.975"	"24.239"	"23.782"	"23.982"	"23.888"	"22.542"	"20.862"
"1917"	"20.983"	"22.715"	"25.157"	"27.304"	"26.108"	"23.824"	"24.51"	"24.102"	"23.872"	"23.161"	"22.941"	"21.427"
"1918"	"21.175"	"22.22"	"24.791"	"27.2"	"25.378"	"24.486"	"24.82"	"24.389"	"24.473"	"25.069"	"23.932"	"22.047"
"1919"	"23.014"	"24.54"	"26.106"	"28.42"	"26.622"	"24.539"	"24.172"	"24.208"	"24.516"	"24.355"	"22.989"	"22.005"
"1920"	"21.481"	"24.137"	"26.598"	"27.483"	"27.356"	"25.08"	"24.225"	"24.336"	"24.481"	"24.359"	"23.014"	"21.337"
"1921"	"22.674"	"23.423"	"26.541"	"27.006"	"27.721"	"24.986"	"24.126"	"24.225"	"23.698"	"23.827"	"22.039"	"21.167"
"1922"	"22.13"	"23.199"	"26.561"	"27.89"	"26.616"	"24.798"	"23.8"	"24.2"	"24.388"	"23.7"	"22.697"	"20.685"
"1923"	"20.796"	"22.898"	"24.905"	"27.024"	"26.634"	"25.512"	"23.374"	"24.083"	"23.847"	"23.963"	"23.178"	"21.976"
"1924"	"21.902"	"24.175"	"25.904"	"28.407"	"27.601"	"24.859"	"23.885"	"24.383"	"24.087"	"23.974"	"22.299"	"20.967"
"1925"	"21.974"	"23.237"	"25.63"	"27.998"	"26.192"	"24.959"	"24.078"	"24.185"	"24.7"	"23.641"	"22.275"	"21.087"
"1926"	"22.204"	"23.698"	"26.519"	"27.28"	"27.596"	"26.036"	"25.19"	"24.647"	"24.338"	"24.007"	"22.684"	"21.849"
"1927"	"22.676"	"24.375"	"27.002"	"28.457"	"27.271"	"24.951"	"23.717"	"24.532"	"24.433"	"23.837"	"22.094"	"21.883"
"1928"	"22.349"	"23.683"	"25.755"	"27.969"	"27.902"	"25.378"	"24.255"	"24.078"	"24.861"	"23.801"	"22.601"	"21.181"
"1929"	"22.464"	"23.723"	"25.603"	"26.725"	"26.739"	"24.762"	"24.33"	"24.898"	"24.932"	"23.903"	"22.665"	"22.116"
"1930"	"22.277"	"23.369"	"25.863"	"27.628"	"26.172"	"25.138"	"24.148"	"24.306"	"24.612"	"23.829"	"22.513"	"22.006"
"1931"	"22"	"23.82"	"26.577"	"28.356"	"28.029"	"25.466"	"24.403"	"24.626"	"24.202"	"24.455"	"22.891"	"21.562"
"1932"	"20.925"	"23.36"	"25.196"	"28.004"	"26.342"	"24.813"	"23.714"	"24.601"	"24.025"	"24.193"	"22.921"	"21.485"
"1933"	"21.733"	"23.892"	"25.619"	"27.603"	"25.809"	"23.838"	"23.524"	"23.825"	"23.784"	"23.286"	"23.097"	"21.292"
"1934"	"21.838"	"22.943"	"25.419"	"27.492"	"27.296"	"24.995"	"24.156"	"23.938"	"25.037"	"24.444"	"21.819"	"20.791"
"1935"	"22.166"	"23.916"	"26.156"	"27.449"	"27.71"	"25.194"	"23.614"	"23.783"	"23.726"	"24.001"	"21.872"	"21.801"
"1936"	"22.61"	"24.246"	"25.541"	"27.863"	"27.047"	"23.621"	"23.638"	"23.669"	"24.446"	"24.001"	"22.818"	"22.241"
"1937"	"21.874"	"24.453"	"26.454"	"27.1"	"27.011"	"24.812"	"23.485"	"24.478"	"24.625"	"23.779"	"22.36"	"21.465"
"1938"	"22.242"	"24.584"	"26.636"	"27.877"	"27.224"	"24.089"	"23.555"	"23.566"	"23.802"	"23.22"	"22.37"	"21.839"
"1939"	"21.423"	"23.015"	"25.514"	"27.144"	"27.155"	"24.852"	"23.193"	"23.819"	"23.976"	"24.102"	"22.291"	"21.105"
"1940"	"20.762"	"23.216"	"26.199"	"26.998"	"26.751"	"24.678"	"23.577"	"23.798"	"24.432"	"24.187"	"22.437"	"21.643"
"1941"	"22.329"	"23.723"	"26.893"	"28.242"	"27.364"	"24.6"	"24.568"	"24.54"	"24.15"	"24.241"	"23.16"	"21.89"
"1942"	"21.911"	"23.894"	"26.247"	"27.995"	"27.694"	"25.078"	"23.888"	"23.836"	"24.276"	"24.168"	"22.442"	"22.262"
"1943"	"22.262"	"23.126"	"26.529"	"27.1"	"25.933"	"23.963"	"23.22"	"24.061"	"23.267"	"22.838"	"22.72"	"21.161"
"1944"	"22.214"	"23.49"	"25.18"	"26.899"	"27.364"	"24.901"	"23.426"	"24.461"	"24.246"	"24.104"	"23.013"	"21.485"
"1945"	"22.235"	"24.536"	"26.235"	"27.278"	"27.288"	"25.073"	"24.056"	"23.865"	"24.067"	"24.207"	"22.338"	"21.839"
"1946"	"21.143"	"23.315"	"26.492"	"27.507"	"26.883"	"24.762"	"23.752"	"23.748"	"24.124"	"24.224"	"22.872"	"21.592"
"1947"	"22.45"	"23.119"	"26.135"	"26.781"	"27.808"	"25.053"	"23.6"	"24.17"	"23.707"	"23.557"	"22.42"	"21.861"
"1948"	"22.397"	"24.406"	"26.012"	"27.784"	"26.69"	"25.031"	"23.836"	"23.774"	"23.991"	"24.201"	"23.619"	"21.298"
"1949"	"21.481"	"23.351"	"26.477"	"27.682"	"26.698"	"24.604"	"23.603"	"23.889"	"23.446"	"24.295"	"22.135"	"20.964"
"1950"	"21.745"	"23.859"	"26.14"	"27.92"	"27.516"	"24.521"	"23.344"	"24.076"	"23.432"	"23.224"	"22.12"	"21.275"
"1951"	"21.996"	"23.592"	"26.414"	"27.461"	"26.908"	"24.074"	"23.583"	"24.556"	"24.899"	"24.374"	"23.533"	"21.367"
"1952"	"22.296"	"24.257"	"26.551"	"28.422"	"27.139"	"25"	"24.173"	"23.961"	"24.277"	"23.562"	"22.689"	"21.776"
"1953"	"22.2"	"23.352"	"27.187"	"27.089"	"28.185"	"25.73"	"23.744"	"24.107"	"24.039"	"24.102"	"22.256"	"21.457"
"1954"	"22.413"	"24.47"	"26.02"	"28.338"	"27.105"	"24.85"	"23.293"	"23.598"	"23.577"	"23.379"	"21.834"	"21.807"
"1955"	"21.852"	"24.256"	"26.229"	"27.486"	"25.83"	"24.537"	"23.813"	"23.09"	"24.465"	"24.165"	"22.071"	"20.699"
"1956"	"21.697"	"23.415"	"26.777"	"28.497"	"26.5"	"24.217"	"22.77"	"23.734"	"23.796"	"23.286"	"22.633"	"21.198"
"1957"	"21.726"	"23.96"	"25.511"	"27.476"	"27.43"	"24.557"	"23.718"	"23.952"	"24.338"	"24.336"	"22.928"	"22.381"
"1958"	"22.491"	"24.927"	"26.873"	"27.892"	"26.642"	"25.644"	"23.777"	"24.296"	"23.893"	"23.98"	"23.412"	"21.806"
"1959"	"22.697"	"24.597"	"26.534"	"28.179"	"27.687"	"24.642"	"23.199"	"24.011"	"24.324"	"24.361"	"23.026"	"22.076"
"1960"	"22.714"	"23.936"	"26.714"	"28.142"	"26.971"	"25.154"	"24.37"	"24.636"	"23.947"	"24.188"	"22.183"	"21.814"
"1961"	"22.234"	"24.746"	"27.548"	"28.386"	"26.696"	"24.536"	"23.192"	"24.025"	"24.099"	"23.98"	"22.626"	"21.923"
"1962"	"21.997"	"23.892"	"26.262"	"27.079"	"26.419"	"25.497"	"24.3"	"23.961"	"24.122"	"23.742"	"22.727"	"21.935"
"1963"	"21.513"	"23.015"	"26.132"	"27.126"	"27.251"	"24.885"	"24.656"	"24.161"	"24.747"	"24.16"	"23.225"	"22.01"
"1964"	"22.1"	"24.286"	"26.853"	"28.896"	"28.168"	"25.278"	"24.582"	"23.771"	"23.446"	"24.445"	"22.026"	"21.371"
"1965"	"21.462"	"23.596"	"26.315"	"27.183"	"27.474"	"25.238"	"24.029"	"24.017"	"24.593"	"25.413"	"23.777"	"22.369"
"1966"	"23.075"	"24.874"	"27.222"	"28.263"	"27.22"	"25.433"	"24.301"	"25.019"	"24.278"	"23.822"	"23.085"	"22.048"
"1967"	"21.855"	"23.273"	"25.734"	"28.086"	"27.498"	"25.119"	"23.084"	"23.426"	"23.781"	"23.086"	"22.767"	"22.377"
"1968"	"21.965"	"24.292"	"26.113"	"27.311"	"27.619"	"25.255"	"23.817"	"24.507"	"24.408"	"23.894"	"23.105"	"22.109"
"1969"	"22.098"	"24.685"	"27.436"	"28.5"	"27.306"	"25.485"	"24.064"	"24.477"	"23.868"	"23.827"	"23.198"	"21.788"
"1970"	"22.481"	"24.057"	"26.795"	"28.349"	"26.801"	"24.688"	"24.064"	"23.709"	"24.124"	"23.794"	"22.355"	"21.076"
"1971"	"22.497"	"24.032"	"25.713"	"27.763"	"26.809"	"23.785"	"24.056"	"24.039"	"24.388"	"23.638"	"22.143"	"21.067"
"1972"	"21.305"	"24.138"	"25.87"	"28.062"	"26.571"	"26.134"	"24.294"	"24.543"	"24.977"	"24.377"	"23.342"	"22.29"
"1973"	"22.679"	"24.66"	"26.95"	"29.054"	"27.952"	"25.208"	"24.56"	"23.418"	"24.355"	"24.018"	"22.797"	"21.462"
"1974"	"22.068"	"23.666"	"26.612"	"28.443"	"26.861"	"24.956"	"24.027"	"23.848"	"23.781"	"23.597"	"23.013"	"21.554"
"1975"	"21.876"	"24.954"	"26.814"	"28.67"	"27.053"	"24.51"	"23.51"	"23.831"	"23.723"	"23.466"	"22.062"	"21.146"
"1976"	"20.699"	"23.178"	"26.76"	"27.28"	"27.425"	"25.731"	"24.444"	"24.025"	"24.615"	"24.727"	"23.273"	"22.432"
"1977"	"22.174"	"24.337"	"26.581"	"28.072"	"26.179"	"24.862"	"24.044"	"24.261"	"24.796"	"23.957"	"23.365"	"21.952"
"1978"	"22.42"	"24.151"	"26.484"	"28.044"	"26.738"	"23.936"	"23.439"	"23.669"	"24.202"	"24.476"	"23.509"	"22.081"
"1979"	"22.779"	"24.661"	"26.574"	"28.334"	"27.274"	"25.094"	"22.991"	"24.099"	"24.134"	"24.227"	"23.289"	"22.766"
"1980"	"22.071"	"24.38"	"26.561"	"27.98"	"27.836"	"24.273"	"24.024"	"23.958"	"24.958"	"24.693"	"23.403"	"22.878"
"1981"	"22.839"	"24.528"	"26.366"	"28.204"	"27.238"	"24.558"	"24.659"	"23.654"	"24.231"	"24.351"	"23.171"	"21.706"
"1982"	"21.997"	"24.711"	"27.175"	"28.35"	"27.302"	"24.649"	"24.292"	"24.45"	"24.843"	"25.2"	"23.542"	"22.01"
"1983"	"22.38"	"26.134"	"28.048"	"29.068"	"28.055"	"25.513"	"24.806"	"24.182"	"23.946"	"24.302"	"23.01"	"22.166"
"1984"	"22.794"	"23.43"	"25.421"	"27.383"	"28.126"	"24.534"	"23.718"	"24.16"	"24.546"	"23.984"	"23.046"	"22.477"
"1985"	"23.021"	"25.066"	"27.175"	"28.323"	"27.615"	"24.255"	"23.759"	"24.278"	"25.055"	"23.883"	"22.582"	"22.716"
"1986"	"21.989"	"24.019"	"26.908"	"28.736"	"27.713"	"24.816"	"24.575"	"24.052"	"24.733"	"24.755"	"23.237"	"22.705"
"1987"	"22.337"	"23.539"	"25.96"	"28.179"	"27.529"	"25.276"	"25.174"	"24.511"	"25.74"	"24.76"	"23.753"	"22.417"
"1988"	"22.209"	"25.391"	"27.597"	"27.55"	"27.378"	"25.489"	"24.024"	"24.013"	"24.162"	"24.742"	"23.285"	"22.088"
"1989"	"22.25"	"24.091"	"26.016"	"28.093"	"27.4"	"24.724"	"23.809"	"23.959"	"24.514"	"24.77"	"23.2"	"22.305"
"1990"	"22.397"	"24.699"	"27.15"	"28.706"	"26.144"	"24.6"	"23.993"	"23.853"	"25.058"	"24.326"	"23.353"	"22.197"
"1991"	"23.499"	"24.78"	"27.638"	"27.906"	"27.728"	"24.655"	"23.584"	"23.619"	"25.021"	"24.293"	"22.661"	"21.873"
"1992"	"21.389"	"24.735"	"26.484"	"28.103"	"26.869"	"24.811"	"24.261"	"24.085"	"24.627"	"24.391"	"23.536"	"21.444"
"1993"	"22.218"	"24.155"	"26.692"	"28.203"	"27.816"	"25.299"	"24.277"	"24.456"	"24.127"	"24.201"	"23.14"	"21.668"
"1994"	"22.504"	"24.586"	"26.98"	"27.738"	"27.685"	"25.072"	"23.752"	"24.586"	"24.82"	"24.273"	"22.466"	"21.247"
"1995"	"22.372"	"24.975"	"26.471"	"28.069"	"26.253"	"25.948"	"24.167"	"24.607"	"24.732"	"24.523"	"24.478"	"22.225"
"1996"	"22.982"	"24.345"	"27.077"	"27.685"	"28.268"	"25.045"	"24.578"	"24.171"	"24.443"	"24.139"	"23.748"	"21.863"
"1997"	"22.614"	"24.661"	"26.584"	"26.85"	"27.599"	"26.427"	"24.837"	"24.521"	"25.207"	"24.902"	"24.349"	"23.124"
"1998"	"23.53"	"25.724"	"27.917"	"28.908"	"28.075"	"26.259"	"24.553"	"24.761"	"24.589"	"24.509"	"23.909"	"22.483"
"1999"	"22.705"	"24.466"	"27.49"	"27.89"	"25.822"	"24.771"	"24.242"	"24.562"	"25.224"	"24.696"	"23.533"	"22.087"
"2000"	"23.174"	"25.028"	"26.542"	"28.09"	"26.859"	"24.388"	"24.063"	"24.067"	"24.906"	"24.339"	"23.752"	"21.9"
"2001"	"23.196"	"26.063"	"27.427"	"28.128"	"27.404"	"25.16"	"24.729"	"24.162"	"25.323"	"24.208"	"23.774"	"22.207"
"2002"	"23.349"	"24.13"	"27.284"	"28.559"	"27.501"	"25.285"	"24.931"	"24.718"	"25.869"	"25.093"	"23.67"	"22.776"
